,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
0,0,-DrR38H1Abk0wCyu9XOLug,ZSXojEQF9VbhD_h3K-4bmg,5,Amber S.,amber,Female
1,1,-DrR38H1Abk0wCyu9XOLug,6YtIAi2jrOWx3yvM9HcJEw,4,Tiffany N.,tiffany,Female
2,2,-DrR38H1Abk0wCyu9XOLug,2j1t2s7Mu39N3d0c-SYSOA,4,Holly P.,holly,Female
3,0,-FOAQv22SXtSBs7nptI3UA,s_NXa4ISlDWd_C0bALRbnQ,5,Valerie S.,valerie,Female
4,1,-FOAQv22SXtSBs7nptI3UA,kKQ5h0SUyhq0PMRXoql0tQ,5,Joanne C.,joanne,Female
5,2,-FOAQv22SXtSBs7nptI3UA,IthS8Rb-GYIZ9OhgWuJeWQ,3,Julian S.,julian,Male
6,0,-LJayGlySYnQ8z2VvZyFNw,Pb3kmwLy9_vOZSRvV0rMZg,5,Kevin G.,kevin,Male
7,1,-LJayGlySYnQ8z2VvZyFNw,IIZt_LyD75DkzkTaVYN35w,4,Guillermo M.,guillermo,Male
8,2,-LJayGlySYnQ8z2VvZyFNw,Hb1IqV1O5dOCBg1FxVnAKg,5,Nina I.,nina,Female
9,0,-NglVrPdjl3dG-z8ZBzJyQ,y0WGAhbtTp68xls-s70LJQ,5,Conor D.,conor,Male
12,0,-OixbLnFLCzQclxCSbUQ8w,odgcUU1zrK_TyQR4ZpLtwQ,5,Angelica O.,angelica,Female
13,1,-OixbLnFLCzQclxCSbUQ8w,1Xu5zI48E6lXYxIXDl2SFA,5,Jessica C.,jessica,Female
14,2,-OixbLnFLCzQclxCSbUQ8w,Kz3Ons1BqTzrG5-rZrsCcg,5,Jacky C.,jacky,Female
15,0,-OplSkpDk33uikS5fO-JQw,BvhSWmuNWGi8t4X5i4QcPA,5,Rob P.,rob,Male
17,2,-OplSkpDk33uikS5fO-JQw,HEQk04siMM5aOEZamGISkw,5,Erick D.,erick,Male
18,0,-P7qAIG1wr_gXW3nzIq5TA,Bcle5w3F9IPI-6FoowFx7g,5,Molly M.,molly,Female
19,1,-P7qAIG1wr_gXW3nzIq5TA,NRiTtHX-K8qDsjDGphVBUw,4,Allie L.,allie,Female
20,2,-P7qAIG1wr_gXW3nzIq5TA,uB5ToOkiETFoWezJNDf3qg,4,Jane K.,jane,Female
21,0,-d8E36_poxJgHT415CC6rA,41V9qcsm2zbXXaKAfRVy6w,4,Wendy Y.,wendy,Female
22,1,-d8E36_poxJgHT415CC6rA,OlhIKcfYgJ7fZRgLw5OqVg,1,Eric L.,eric,Male
23,2,-d8E36_poxJgHT415CC6rA,3onJuV4nPwIPxJnU9qk68Q,4,Suki C.,suki,Female
24,0,-ic13XJ9ekpEfshQFPKL4A,EHt9-PpEfYhdVW0b2PGgkQ,5,Tatiana C.,tatiana,Female
25,1,-ic13XJ9ekpEfshQFPKL4A,U66p6Afj6mEQZH1xgsEfcQ,3,Micaela T.,micaela,Female
27,0,-kVueEw_fyO1Q2Gkmj6Few,DSQj_X9t-4QaEVp_gNRqPw,5,Monte G.,monte,Male
28,1,-kVueEw_fyO1Q2Gkmj6Few,CSHckguOnBNBKMjWa8cUHQ,4,Jesse F.,jesse,Male
29,2,-kVueEw_fyO1Q2Gkmj6Few,0pspp_Atc6p9cjmsoMNrWw,4,Christos A.,christos,Male
30,0,-rqqnZeGmwyfkqoRskSO1g,xeejTBpq1AlI7Xdi1-QK5g,5,Thea G.,thea,Female
31,1,-rqqnZeGmwyfkqoRskSO1g,Zofa03Zn-7rG8Rs2PnKxJA,5,Mackenzie D.,mackenzie,Male
32,2,-rqqnZeGmwyfkqoRskSO1g,zbXWRMvdDpmDfRD1JYjVbw,5,Evan R.,evan,Male
33,0,-sg6DqQNGyTMt0MHoY7diQ,mere3hKmmi4AXXn_rfLzqQ,5,Andrea B.,andrea,Female
35,2,-sg6DqQNGyTMt0MHoY7diQ,S5IHsFM0WRpCGCD97sfsYQ,4,Denise L.,denise,Female
36,0,00jHmlu0elBhzBsw7Y5pww,WrGaXtzKzdceNQGpwzqixQ,5,Carie C.,carie,Female
37,1,00jHmlu0elBhzBsw7Y5pww,ctOUz1l4RSNQvNfVIbIX5g,5,Julio R.,julio,Male
39,0,09FLRYnePKcUwGDDPIOAkg,jwShOe7oZVLJysuvU64c1g,5,Elaine S.,elaine,Female
40,1,09FLRYnePKcUwGDDPIOAkg,zlci1OVR3oUaSDeY_TXenw,3,Maryam Q.,maryam,Female
41,2,09FLRYnePKcUwGDDPIOAkg,MKfxivx7C2OYsSCrN7FrlA,4,Sarah B.,sarah,Female
42,0,0CjK3esfpFcxIopebzjFxA,whUCJeLJsuhJgxtuVdLTUQ,5,Derek W.,derek,Male
43,1,0CjK3esfpFcxIopebzjFxA,s4a_9wxSZsHNPbTiDIpbiQ,3,Kaitlin C.,kaitlin,Female
